Track,Date,Start Time,Duration,Speaker,Talk Title,Synopsis,Type
LAWN,2026-07-02,07:30,90,,Breakfast,,Break
STUDIO A,2026-07-02,09:00,10,"","Dydh da - welcome to day 1",,Talk
STUDIO A,2026-07-02,09:10,60,"Patrick Debois",AI engineering,,Talk
STUDIO A,2026-07-02,10:10,30,"Patrick Debois","Ask Me Anything - AI speaker",,Talk
LAWN,2026-07-02,10:40,20,,Break,,Break
STUDIO A,2026-07-02,11:00,45,"Cat Morris; Derik Evangelista","From panic to peace: Making the observability of an eventually consistent system suck less",,Talk
STUDIO C,2026-07-02,11:00,45,"Claire Kemp","AI is my new best friend",,Talk
STUDIO K,2026-07-02,11:00,45,"Ryan Healey","The developers worked in two by two. Hurrah! Hurrah!",,Talk
STUDIO L,2026-07-02,11:00,45,"Joakim Sundén","""The smoothest reorg I've ever seen"": Lessons in collaborative org design",,Talk
STUDIO E,2026-07-02,11:00,105,"Munish Malik; Mohit Chandna","The great prototyping quest",,Workshop
STUDIO F,2026-07-02,11:00,105,"Rucha Kapare","10 facilitation hacks and 0 slides in 100 minutes",,Workshop
LAWN,2026-07-02,11:45,15,,Break,,Break
STUDIO A,2026-07-02,12:00,45,"Dan Abel","Being secure by design: engineer led security",,Talk
STUDIO C,2026-07-02,12:00,45,"Neha Datt","Product strategy 101: what most teams are missing",,Talk
STUDIO K,2026-07-02,12:00,45,"Vardhan Bhatt","The resilient consultant: From a dream team to burnout and back",,Talk
STUDIO L,2026-07-02,12:00,45,"Robin Olsson; Harry Waterman","The successful failure: How our perfect AI tool drowned on the shore of adoption",,Talk
LAWN,2026-07-02,12:45,60,,Lunch,,Break
STUDIO A,2026-07-02,13:45,15,,"Sponsor lightning talk",,Talk
STUDIO A,2026-07-02,14:00,45,"Harshita Varma; Nikita Verma","Code that grows trees: An experience report on automating scientific simulation",,Talk
STUDIO C,2026-07-02,14:00,45,"Francesca Salvati","From project factory to product thinking: A platform team's journey",,Talk
STUDIO L,2026-07-02,14:00,45,"Qiushuang Wang","The paradox of perfect process: How we delivered global product flawlessly... and missed the mark",,Talk
STUDIO F,2026-07-02,14:00,105,"Amy Aspinall; Swarnadipa Banerjee","The Traitors: Agile edition",,Workshop
LAWN,2026-07-02,14:45,15,,Break,,Break
STUDIO A,2026-07-02,15:00,45,"Lee Provoost","Keeping engineers sane when everything's on fire: a fintech replatforming tale",,Talk
STUDIO C,2026-07-02,15:00,45,"Paul Anumudu","Pivot, fuse, thrive: Redefining ITSM & Agile product leadership with AI at a global pharma",,Talk
STUDIO K,2026-07-02,15:00,45,"Andy Weir","Your ticket isn't the truth, the conversation is",,Talk
STUDIO L,2026-07-02,15:00,45,"Alisson Fernandes","Purpose-driven leadership: Unleashing the power of belonging",,Talk
LAWN,2026-07-02,15:45,15,,Break,,Break
STUDIO A,2026-07-02,16:00,45,"Mohamed Mortadha Manai","How we built agentic AI workflows at Netflix: Lessons in explainability and scale",,Talk
